osm_id,place_type,name_default,name_ar,name_en,name_fr,lat,lon
7926393563,village,علي النهري,علي النهري,Aali En Nahri,Aali En Nahri,33.8572753,36.0264396
7935753665,village,حارة الخسة,حارة الخسة,Haret El Khasseh,Haret El Khasseh,34.3801239,35.8373737
7949013255,neighbourhood,البداوي,البداوي,El Beddaoui,El Beddaoui,34.4510951,35.8652649
7949057226,village,مونتيفردي,مونتيفردي,Montiverdi,Montiverdi,33.8485868,35.5884436
7970560468,neighbourhood,Saydet En Najat,,Saydet En Najat,Saydet En Najat,33.8455865,35.894046
8001186083,village,حبوب,حبوب,Hboub,Haboub,34.1305287,35.6727016
8121397339,town,ضهور الشوير,ضهور الشوير,Dhour El Choueir,Dhour El Choueir,33.9104884,35.7119179
8243320860,village,نبي ايلا,نبي ايلا,Nabi Aila,Nabi Aila,33.8808772,35.9552269
8244688400,village,حوقا,حوقا,Haouqa,Haouqa,34.2726457,35.9421376
8312195212,village,بسبينا,بسبينا,Basbina,Basbina,34.2361444,35.7074654
8402359501,village,Kfarchille,,Kfarchille,Kfarchille,34.1781514,35.7789731
8900961370,suburb,المصيطبة,المصيطبة,Moussaitbeh,Moussaitbeh,33.8843064,35.4891077
8900961371,suburb,رأس بيروت,رأس بيروت,Ras Beirut,Ras Beyrouth,33.8935736,35.4751968
8900961372,suburb,المدور,المدور,Medawar,Medawar,33.9009829,35.5311155
8900961373,suburb,الرميل,الرميل,Rmeil,Rmeil,33.8935736,35.5230474
8900961374,neighbourhood,السراي,السراي,Serail,Serail,33.8945889,35.4992294
8900961375,suburb,المزرعة,المزرعة,Mazraa,Mazraa,33.8740144,35.5051088
8913085270,town,الحوش,الحوش,Hosh,El Haouch,33.2434255,35.2384758
8932912471,neighbourhood,جبل محسن,جبل محسن,Jabal Muhsin,Jabal Mohsen,34.443141,35.8570039
8932912475,neighbourhood,باب التبانة,باب التبانة,Bab Al Tabbaneh,Bab Al Tabbaneh,34.4441718,35.8508348
8985698508,village,العرقوب,العرقوب,Arqoub,Arqoub,33.4006217,35.534656
8985725772,village,محمودية,محمودية,Mahmoudiya,Mahmoudiya,33.3868449,35.552364
9137610208,town,بحمدون المحطة,بحمدون المحطة,Bhamdoun Al Mahatta,Bhamdoûn al Mahatta,33.8093551,35.6566429
9140867796,neighbourhood,مجمع الأمل,,,,33.4370287,35.309805
9172009577,neighbourhood,الطيونة,الطيونة,Tayouneh,,33.8698599,35.5135142
9176962302,village,Cheikhnaya,,Cheikhnaya,Cheikhnaya,34.1142395,35.7672168
9198110481,village,مصنع الضهر,مصنع الضهر,Masnaa El Dahr,Masnaa El Dahr,34.0093636,36.0037825
9294339789,neighbourhood,مقبرة الصرفند الجديدة,مقبرة الصرفند الجديدة,,Nouveau cimetière de Sarafand,33.4521304,35.2979253
9294354431,neighbourhood,بحر الشق 2,بحر الشق 2,,,33.4643963,35.2962433
9393005674,neighbourhood,Abou Samra,,Abou Samra,,34.4227597,35.8436619
9675804332,village,زوطر الشرقية,زوطر الشرقية,Zawtar El Sharqiyeh,Zaoutar Ech Charqiyeh,33.3237019,35.4730994
9675813070,village,زوطر الغربية,زوطر الغربية,Zawtar El Gharbiyeh,Zaoutar El Gharbiyeh,33.3225991,35.4596775
9800354324,neighbourhood,El Sharawneh,,El Sharawneh,Chrawne,34.0145611,36.2042588
9817705619,village,بكاسين,بكاسين,Bkassine,Bkassine,33.5679941,35.5771208
9820293708,village,Kfar Saroun,,Kfar Saroun,Kfar Saroun,34.2429916,35.9630799
9820341628,village,ضهور الحواء,ضهور الحواء,Dhour El Hawa,Dhour El Hawa,34.3296246,35.826416
9876393249,village,حومين الفوقا,حومين الفوقا,Houmine El Faouqa,Houmine El Faouqa,33.4453543,35.4873579
